https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1640995200000,2022-01-01 00:00:00,MKR/USD,2335.7,2447.1,2327.3,2428.6,271157.847374792,111.65191772
1640908800000,2021-12-31 00:00:00,MKR/USD,2389.9,2447.3,2296.5,2338.3,416709.533793567,178.21046649
1640822400000,2021-12-30 00:00:00,MKR/USD,2362.0,2450.4,2300.1,2394.3,408714.34721263504,170.70306445
1640736000000,2021-12-29 00:00:00,MKR/USD,2500.1,2572.2,2338.4,2357.7,194125.19534001598,82.33668208
1640649600000,2021-12-28 00:00:00,MKR/USD,2683.6,2707.5,2479.7,2498.4,206192.01235176003,82.5296239
1640563200000,2021-12-27 00:00:00,MKR/USD,2692.5,2822.5,2674.7,2686.8,218908.83813579602,81.47567297
1640476800000,2021-12-26 00:00:00,MKR/USD,2683.3,2737.8,2635.2,2687.3,218316.586219501,81.24012437
1640390400000,2021-12-25 00:00:00,MKR/USD,2557.2,2730.2,2557.2,2693.2,82088.127794644,30.47977417
1640304000000,2021-12-24 00:00:00,MKR/USD,2674.1,2686.8,2552.0,2567.0,173713.83886796,67.67192788
1640217600000,2021-12-23 00:00:00,MKR/USD,2438.6,2676.8,2401.3,2675.7,109358.138723157,40.87085201
1640131200000,2021-12-22 00:00:00,MKR/USD,2427.0,2544.8,2412.0,2446.0,180123.68736398002,73.64010113
1640044800000,2021-12-21 00:00:00,MKR/USD,2350.8,2447.4,2340.6,2424.7,138869.007427145,57.27265535
1639958400000,2021-12-20 00:00:00,MKR/USD,2362.2,2432.8,2241.5,2345.5,269343.34505402,114.83408444
1639872000000,2021-12-19 00:00:00,MKR/USD,2471.8,2505.3,2367.3,2367.3,119052.09076250101,50.29024237
1639785600000,2021-12-18 00:00:00,MKR/USD,2392.0,2502.5,2330.9,2477.2,342223.49007893197,138.14931780999999
